accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
G3C9L1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	375	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	450748c69c03b2189d331fc7789b0f214653fe3f9c1dcd5ed1b73e031a4937ca
G3C9N5		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	281	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	b538dae969f71de790434d335a6eaf562bbcc539abaa85770bfdb15d33c23b82
G3C9N6		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	122	1	0.008197	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	5b9b96d1ee368ded7b047f97c3e41f975b193811503b2feba4d38256d076894e
G3C9N7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	393	3	0.007634	2020	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: pooe_positive_sequences	yes	4eb1c143a4ac79035867107ae505c9c2383c16e419a8a9faa51265c1dd2ebd90
G3C9N8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	357	0	0.000000	2013	hypersensitive response assay	Functional test in host; PEACE source memberships: WideEffHunter	yes	28949ee4e4a1f4083ade973eaa623577969de2bc95ba2c32a98bf5d29214ce2c
G3C9N9		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	118	1	0.008475	2017	hypersensitive response assay	Functional test in host: direct injection; PEACE source memberships: pooe_positive_sequences	yes	70f77e462fa0284f007bb2e2bb96ca47cca22ec1982f732e6f6456ea61e944a1
G3C9P0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	125	3	0.024000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	c124a5678c9590f06eb2f05babda5e30dbe26b751f5f054ddc6342cdda767f14
G3C9P1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	114	0	0.000000	2013	hypersensitive response assay	Functional test in host: stable expression of 35s:harxl44 in arabidopsis; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	90ce92391a946f73cdcc2a7685d9ec1650619073cc017976836b74382e676b59
G3C9P6		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	172	0	0.000000	2011	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	642d85ac413d38f6a8be05c86e21c80734d1705e691a0a59a2db5b505cba650d
G3C9P9		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	110	0	0.000000	2014	hypersensitive response assay	Functional test in host; PEACE source memberships: WideEffHunter	yes	6e039df28313c59e8b94dcd535ca8ccf37050dd7ff15063f7190eef156c2e9be
G3C9Q4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	58	2	0.034483	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	3f94e249d63c5c62ef7be9f1bc25b94287ee3c2916a9550b95f36609c0af1b5a
G3C9Q5		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	235	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	59e36671467c7b1225e960839fd6d98c36fe050dedae8ac541ec14e1fde343cc
G3C9Q7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	416	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	4fdc77a9fa1058df5365eb2eafb74b7a4cb319c139fc16c572464c4235d7bf1c
G3C9Q9		PHI-base	v4.19	Hyaloperonospora arabidopsidis	unknown	65	1	0.015385	2013	hypersensitive response assay	Functional test in host	yes	2461d34f5d7aa926127387fdd1512a850d0a04062462716b8b92ac90a4c0a24a
G3C9R3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	137	0	0.000000	2013	hypersensitive response assay	Functional test in host; PEACE source memberships: WideEffHunter	yes	b0113b68bbb4050ee86f4b8a85713409fbdd500de54c2cfb205623067b83aa82
G3C9R4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	261	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	5fe6eca45345792b25376f4de64962174065b17675f7a4f7482e4af0e7b8d273
G3C9S3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	187	1	0.005348	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	543f5bec5bb01c55df5814ee078fab0e4b39e7b55dfbecaab1c771e9361ef8b1
G3C9S7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	93	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	bcc4203d8d1bdefbc2e078538074f0f62332904d76a6e55f0378a83a1ab6378b
G3C9T3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	304	5	0.016447	2013	hypersensitive response assay	Functional test in host; PEACE source memberships: WideEffHunter	yes	27656be2b9907dba19840f6a7f0ab43932cf30c64aba38ee29f02f2dc4f676be
G3C9T8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	172	1	0.005814	2013	hypersensitive response assay	Functional test in host; PEACE source memberships: WideEffHunter	yes	86a6f7f7dd5e69739a105f10dfeaa7d11ff37ad7937c7da679cc1203c54c37be
G3C9U1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	178	1	0.005618	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	170f3ed9d062c9684b57ded8205950b19ed2de9e9db9fe75f9ca33dd094b154e
G3CK59		PHI-base	v4.19	Ustilago maydis	biotroph	129	0	0.000000	2006	knockout virulence phenotype	Gene deletion	unknown	2b42aac312c6243b05f90bfc877abaa56db9896c503e1f544fb3d4f262a74381
G3CK64		PHI-base	v4.19	Ustilago maydis	biotroph	170	1	0.005882	2006	knockout virulence phenotype	Gene deletion	unknown	2affe6842d9f7f1500ccdced5f5f8b76ef414e383a28b4a45d1f252d55cea496
G4MKI0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	137	4	0.029197	2009	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter	yes	f3d4779f229067320888559ae437d8ebab19bfd4e5b19e873431abe57c64d951
G4MRT1	G4MRT1	PHI-base	v4.19	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	126	2	0.015873	2023	hypersensitive response assay	Gene deletion: full; gene complementation	yes	c0c41ccb48b265a080366bed4e5d21bf8a95210656454c0ce44fd263cd1db1f4
G4MVX4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	295	8	0.027119	2013	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	5d6212be6d1a51ba76c9dbe625eaae991e7885dee928ea5ed7ac11df7a15c406
G4MX34		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	113	8	0.070796	2013	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	fda81bf1e5ab5d58f22b99ebdc21cdddc3ca9d1a1576d3e3b7e0272ba803cd6f
G4MX55		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	432	5	0.011574	2014	hypersensitive response assay; knockout virulence phenotype	Gene deletion: full ; gene complementation; Gene deletion: full; gene complementation	yes	d265526b8f2632cb8f211a1a801b888454cdeb1e8199db07fd141a1e615d7085
G4MXW3		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Magnaporthe oryzae	hemibiotroph	113	3	0.026549	2021	hypersensitive response assay	Predector literature record	yes	5eaf87bf1b0f0631d7c33f5bc1458bdc6329c01b21e32ec0e2d75aea5c05cfab
G4MY32		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	105	4	0.038095	2023	hypersensitive response assay	Gene deletion: full	yes	9465c8cc90269aabd21fb92f756e9ca603e48845fa9ff85da02a84c615f4f3f5
G4MY99		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	100	4	0.040000	2023	hypersensitive response assay	Gene deletion: full	yes	28357ce2da9e1c2be4c563f12e4918cff4af05f6566f36b27be1ca52d59b0e53
G4N375		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	267	4	0.014981	2023	hypersensitive response assay	Gene deletion: full	yes	18000ef898592b3d6fe7298216ac78112560e74b2b1376d858e7c0280d32dfe5
G4N5C1		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	244	10	0.040984	2023	hypersensitive response assay	Gene deletion: full	yes	80329fe044df4af46d941fcc52b752aa50a8464fac1f7f1e0f3f057d05066a95
G4N6S9		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	125	6	0.048000	2023	hypersensitive response assay	Gene deletion: full	yes	1f1447b0271d03616302fb6badb9217e1feb33d6d4ab8f0226c5e287ee142256
G4N8Y3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	355	6	0.016901	2013	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	ad2e7ed836c1ace6dee3fddd0902a3543bee3b5d093001e01c80e2e48b31fb7c
G4N906	G4N906	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	162	6	0.037037	2012	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: EffectorP_3.0_positives	yes	5649215c03027622b9232aa31cec517d9d4833e07411fd24b4a496d5e4f2428c
G4NH41		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	198	3	0.015152	2022	hypersensitive response assay	Gene deletion: full; gene complementation	yes	a2c9fffeeab9cb3cde3a400ac34749ec0ecaac1ea9d5bec28873724cf87b61d8
G4YIB3		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	1715	37	0.021574	2022	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	596d776fa3a1609273b7d5d55fcd84ecd9b99ce6ae33f3425277fa2313dd4a0f
G4ZHR2	G4ZHR2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	241	2	0.008299	2017	hypersensitive response assay	Gene mutation; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences	yes	9d3125ff3415fcf5d549ad10e951e0f113db0687b299e547816148f2bfbd12a1
G4ZLE6	G4ZLE6	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	125	0	0.000000	2013	hypersensitive response assay	Functional test in host; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	a8a3bc008ed39ba7d257f4cf71c1a9cf6d5ac2f06038d4e52e432a054bca3acb
G4ZRQ8		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	138	1	0.007246	2004	hypersensitive response assay	Altered gene expression / gene regulation: silencing; Functional test in host: direct injection; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	648ba40fe6cae87b36fe6702fa6ab74bace3867701bd9b3c6e7bed742dc32cda
G4ZSG0	G4ZSG0	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	122	0	0.000000	2018	hypersensitive response assay	Gene deletion: full; PEACE source memberships: pooe_positive_sequences	yes	0230a3f6f69a50bca23455fd67f4e3e24a247deedb5b0a41fd92eef259f16a2c
G5A0G9		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	241	2	0.008299	2015	hypersensitive response assay	Altered gene expression / gene regulation: overexpression	yes	8251a76869cdcfa6017f497ef6e6b8914f68f8ce928c7aa8f5fec73214a63ea5
G5ADB3	G5ADB3	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	670	1	0.001493	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	ee45ca7682f37e779fbcfb50e87c686781c90d27edcebda92d1142d3f6dfb049
G5EHQ6	G5EHQ6	PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	110	2	0.018182	1962	validated host-target interaction	PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	no	1d5bb960a0f1718d40be1058287795b74ab1028138f2626badc59352ae308e5b
G5EI17	G5EI17	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	54	3	0.055556	2012	hypersensitive response assay	Gene mutation: characterised; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	ddc791726ea537fc752cd3c857e9adbabe5bb0bbacdda11a1c03f72811e2b5bb
G5EI71	G5EI71	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	145	2	0.013793	1995	hypersensitive response assay	Gene complementation; Gene deletion: full ; gene complementation; PEACE source memberships: EffectorP_3.0_positives	yes	fc80953f60189a3acadfa75b5db7f2fc94e0ba5af5062c42e76df5744e4f8c9d
G9BER8		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Blumeria graminis f. sp. hordei	biotroph	147	10	0.068027	2013	knockout virulence phenotype	Predector/PHI-base phenotype record	unknown	f37faf23fa090bfd34d6e917a9491547b8fb46f9b4942716d3d8f0e4dca56488
G9BES0		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis f. sp. hordei	biotroph	235	8	0.034043	2013	validated host-target interaction	PEACE source memberships: EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	630a0ea86f7502a235b4d0aafffcd59b29834eaa2ba7d93c13a8aae941b806f9
G9BES2		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Golovinomyces orontii	unknown	153	11	0.071895	2013	knockout virulence phenotype	PEACE source memberships: Predector_positive_sequences;WideEffHunter; Predector/PHI-base phenotype record	no	af56bd25fd87724eadf3b1323a51d0ef1e6d7831ed8b7d1c8bd9224b5480b314
H1UVH3	H1UVH3	PHI-base	v4.19	Colletotrichum higginsianum; Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)	hemibiotroph	176	7	0.039773	2016	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	847a3f5c0408edbeb7d6ee145b3b8de58da22038592bb76e7d6d45a2243e77d5
H1VSQ9	H1VSQ9	PHI-base	v4.19	Colletotrichum higginsianum; Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)	hemibiotroph	170	6	0.035294	2016	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	c2408da10d2d1449125be331a6c5eb5f571b78b3b5d977245a0e083171ea33ef
H7CE70	H7CE70	PHI-base	v4.19	Colletotrichum orbiculare; Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium)	hemibiotroph	54	3	0.055556	2012	hypersensitive response assay	Gene mutation: characterised	yes	07335a91c3beb522af5412f35c02b47fde9633f807d804e235ff455ca401d289
H9BPR8	H9BPR8	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis; Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	unknown	185	1	0.005405	2012	hypersensitive response assay	Gene mutation; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	0f9ba7bd5f8333868947301931ccb1a110dfcc35fb463eafc0a2ae1a8d4ec43b
H9DUR1		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Verticillium dahliae	hemibiotroph	134	4	0.029851	1962	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	d1a89254b0a51897115b64057c6f12b3ca4597c9df32e3d556c8a903d2293e8d
I1RLN6		PHI-base	v4.19	Fusarium graminearum	hemibiotroph	257	2	0.007782	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	1a3b1a09a9601c3edb3c3e73efcdc476f3c36ddca164d78681acabecf0b385fa
I1S303		PHI-base	v4.19	Fusarium graminearum	hemibiotroph	252	6	0.023810	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	f0ee207d2975470c5a2d24025a700e28e47bd4b93c33310d84192381ee3b764a
I1VGT7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Rhynchosporium commune	unknown	109	7	0.064220	2012	hypersensitive response assay	Gene disruption; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	1d5969c0f083aea9d1467e04b21f752782a62b043a0de0749137bbc8a0f2edc1
I1VGT8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Rhynchosporium commune	unknown	115	9	0.078261	2012	hypersensitive response assay	Gene disruption; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	9f823757ebeca55eca4570bad61bc20488ac293b98acf0ae2068296304b78b50
I2FS85		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Ustilago hordei	biotroph	190	1	0.005263	2012	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	c85fd0a919a34d3d1191b4c61b617e4bc963ec841406b0783be6e1766f5ad4a7
J4URT3	J4URT3	PHI-base	v4.19	Beauveria bassiana; Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	unknown	409	21	0.051345	2017	hypersensitive response assay	Gene deletion: full; heterologous complementation	yes	b9e9c467161609c9d94f2469e5d40adf1708d186014acbf133877013e72e9801
J5J7Y8	J5J7Y8	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Beauveria bassiana; Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	unknown	169	10	0.059172	2017	hypersensitive response assay	Gene deletion: full; heterologous complementation; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	d64f643970d339e0d149cf32467f4d438d47bab6f42537258def905c4f090247
J9VQE5	J9VQE5	PHI-base	v4.19	Cryptococcus neoformans; Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Cryptococcus neoformans var. grubii serotype A)	unknown	199	10	0.050251	2022	knockout virulence phenotype	Gene deletion: full; gene complementation	unknown	9c606b62522f514d95b6b00f4e4d601cf5100e6fb8a9bb4b310bec7b2dd6f2f4
KIS66302		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Ustilago maydis	biotroph	207	2	0.009662	2014	validated host-target interaction	PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	5b41de6e07a88e0e7e7638098b5398bda8ca8da953def6f7e80c378811db04f9
L7NCR0	L7NCR0	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora capsici	hemibiotroph	234	4	0.017094	2018	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;WideEffHunter	yes	be4db70917d25dd3178ed3a1966438259ca092a0d87f18a2514dacc121648dcc
L7NCS1	L7NCS1	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	234	2	0.008547	2018	hypersensitive response assay	Functional test in host: transient expression	yes	aa07c4878aea974c09d48a7932a309dc3b6c06b9658c4debce042428fe835f9b
L8WVP3		PHI-base	v4.19	Rhizoctonia solani	unknown	302	6	0.019868	2019	hypersensitive response assay	Functional test in host: transient expression	yes	d5c6ac38ffc4e4e3db3543172c0a87b37ce53e900bacc160a70496e44eabf92a
M1GM60		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Parastagonospora nodorum	necrotroph	222	6	0.027027	2016	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: FunEffector-Pred	yes	1e932f816b009be11d67a647d034775ea3e1f76f332b3559d51624272d4d458f
M4BIN0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	127	12	0.094488	2020	hypersensitive response assay	Other evidence: transgenic plants; PEACE source memberships: EffectorP_3.0_positives	yes	c469da9e4d14595d0054953992b79319c06aee78e53fada2f788dd51f115c2ca
N1J7E2		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Blumeria graminis	biotroph	115	3	0.026087	2016	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffectorP_3.0_positives;FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	28d41958a64c1c2d4bdeda0068b55b9dfcba37eb467f20bf98e8ee1834b7c0f6
N1J904		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Blumeria graminis; Blumeria graminis f. sp. hordei	biotroph	128	6	0.046875	2015	knockout virulence phenotype; validated host-target interaction	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffHunter_positive;EffectorP_2.0_validation;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	6f2a1e579365e783c7a0fc879a98a338a3b06f7c61dc0186dcaee50d81624bd6
N1JFE2		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Blumeria graminis	biotroph	161	3	0.018634	2013	knockout virulence phenotype	Altered gene expression / gene regulation: silencing; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	no	136ea8dceaef8e315554517acf406f61d728090fa81825825c203fefbd8d5b74
N1JFM8		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis	biotroph	122	1	0.008197	2016	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	2783fb5fa5697fe82c9fbee29a7fb444d35d4b27f435371a73d0183d6a811c9e
